Sample,Time,TVOC,,eCO2
1,44,0,,400
2,1093,0,,400
3,2144,0,,400
4,3194,0,,400
5,4244,0,,400
6,5295,0,,400
7,6345,0,,400
8,7395,0,,400
9,8445,0,,400
10,9496,0,,400
11,10547,0,,400
12,11596,0,,400
13,12647,0,,400
14,13698,0,,400
15,14748,107,,641
16,15798,110,,644
17,16848,113,,644
18,17899,111,,635
19,18950,109,,637
20,20000,116,,633
21,21051,112,,638
22,22102,108,,632
23,23151,108,,632
24,24202,113,,626
25,25252,109,,623
26,26303,111,,629
27,27354,105,,621
28,28404,109,,619
29,29454,115,,627
30,30504,108,,620
31,31555,110,,637
32,32606,111,,641
33,33656,108,,631
34,34707,108,,634
35,35758,116,,640
36,36807,113,,636
37,37858,110,,636
38,38908,110,,633
39,39959,113,,634
40,41010,112,,631
41,42060,110,,627
42,43110,110,,632
43,44161,109,,631
44,45211,116,,625
45,46262,108,,630
46,47312,111,,624
47,48363,107,,625
48,49413,114,,620
49,50463,104,,621
50,51514,109,,626
51,52564,112,,635
52,53615,109,,626
53,54666,106,,627
54,55716,109,,621
55,56766,106,,613
56,57817,114,,618
57,58867,110,,615
58,59918,105,,611
59,60968,112,,615
60,62019,111,,619
61,63069,110,,615
62,64119,105,,609
63,65170,110,,618
64,66221,105,,611
65,67271,108,,615
66,68322,104,,606
67,69372,109,,608
68,70422,112,,613
69,71473,110,,605
70,72523,111,,607
71,73574,107,,605
72,74625,109,,611
73,75675,107,,604
74,76725,112,,614
75,77775,108,,606
76,78826,108,,609
77,79877,110,,614
78,80927,111,,608
79,81978,108,,607
80,83028,111,,605
81,84078,113,,607
82,85129,106,,598
83,86179,111,,599
84,87230,113,,603
85,88281,110,,599
86,89331,107,,600
87,90381,110,,602
88,91431,110,,596
89,92482,108,,586
90,93533,109,,595
91,94583,106,,587
92,95634,111,,587
93,96685,104,,589
94,97734,103,,587
95,98785,103,,580
96,99835,106,,590
97,100886,109,,594
98,101937,98,,578
99,102987,101,,586
100,104038,102,,585
101,105088,105,,582
102,106138,102,,575
103,107189,107,,584
104,108239,103,,576
105,109290,104,,587
106,110341,103,,580
107,111391,103,,576
108,112442,97,,570
109,113491,106,,576
110,114542,102,,582
111,115593,102,,570
112,116643,103,,578
113,117694,100,,572
114,118745,103,,575
115,119795,101,,563
116,120846,98,,571
117,121896,103,,572
118,122946,103,,569
119,123997,105,,565
120,125047,100,,568
121,126098,108,,566
