Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,123,400
16,125,400
17,123,400
18,120,400
19,126,400
20,118,400
21,119,400
22,121,400
23,116,400
24,119,400
25,119,400
26,124,400
27,128,400
28,124,400
29,121,400
30,123,400
31,119,400
32,117,400
33,125,400
34,119,400
35,121,400
36,120,400
37,121,400
38,121,400
39,122,400
40,121,400
41,120,400
42,114,400
43,115,400
44,118,400
45,125,400
46,115,400
47,117,400
48,119,400
49,115,400
50,117,400
51,115,400
52,115,400
53,119,400
54,114,400
55,114,400
56,119,400
57,116,400
58,120,400
59,117,400
60,120,400
61,120,400
62,121,400
63,111,400
64,117,400
65,120,400
66,114,400
67,117,400
68,116,400
69,115,400
70,115,400
71,119,400
72,116,400
73,113,400
74,114,400
75,121,400
76,115,400
77,115,400
78,119,400
79,114,400
80,118,400
81,116,400
82,113,400
83,116,400
84,114,400
85,111,400
86,115,400
87,109,400
88,116,400
89,111,400
90,110,400
91,110,400
92,109,400
93,113,400
94,110,400
95,110,400
96,110,400
97,111,400
98,114,400
99,109,400
100,109,400
101,108,400
102,114,400
103,111,400
104,113,400
105,114,400
106,117,400
107,110,400
108,112,400
109,113,400
110,115,400
111,109,400
112,107,400
113,115,400
114,107,400
115,107,400
116,109,400
117,110,400
118,106,400
119,107,400
120,105,400
121,109,400
122,105,400
123,108,400
124,111,400
125,102,400
126,108,400
127,111,400
128,112,400
129,107,400
130,109,400
131,107,400
132,110,400
133,104,400
134,112,400
135,111,400
136,107,400
137,109,400
138,105,400
139,109,400
140,107,400
141,110,400
142,103,400
143,107,400
144,106,400
145,106,400
146,100,400
147,109,400
148,103,400
149,104,400
150,103,400
151,105,400
152,105,400
153,105,400
154,110,400
155,106,400
156,104,400
157,107,400
158,104,400
159,103,400
160,104,400
161,109,400
162,106,400
163,102,400
164,106,400
165,103,400
166,103,400
167,104,400
168,102,400
169,102,400
170,105,400
171,105,400
172,106,400
173,106,400
174,107,400
175,101,400
176,106,400
177,104,400
178,103,400
179,102,400
180,107,400
181,104,400
182,102,400
183,101,400
184,106,400
185,98,400
186,96,400
187,104,400
188,100,400
189,100,400
190,106,400
191,103,400
192,101,400
193,107,400
194,104,400
195,101,400
196,100,400
197,102,400
198,99,400
199,97,400
200,98,400
201,101,400
202,96,400
203,101,400
204,97,400
205,98,400
206,97,400
207,97,400
208,95,400
209,101,400
210,99,400
211,100,400
212,104,400
213,100,400
214,96,400
215,94,400
216,96,400
217,97,400
218,93,400
219,97,400
220,97,400
221,101,400
222,97,400
223,95,400
224,95,400
225,95,400
226,97,400
227,98,400
228,95,400
229,96,400
230,95,400
231,94,400
232,95,400
233,99,400
234,99,400
235,91,400
236,97,400
237,93,400
238,93,400
239,94,400
240,98,400
241,92,400
242,90,400
243,94,400
244,96,400
245,96,400
246,93,400
247,90,400
248,91,400
249,92,400
250,96,400
251,90,400
252,91,400
253,96,400
254,92,400
255,99,400
256,96,400
257,88,400
258,92,400
259,93,400
260,93,400
261,88,400
262,94,400
263,93,400
264,87,400
265,92,400
266,92,400
267,90,400
268,92,400
269,92,400
270,89,400
271,89,400
272,92,400
273,90,400
274,86,400
275,93,400
276,91,400
277,93,400
278,91,400
279,84,400
280,86,400
281,89,400
282,91,400
283,89,400
284,90,400
285,91,400
286,89,400
287,91,400
288,87,400
289,86,400
290,88,400
291,90,400
292,87,400
293,88,400
294,87,400
295,89,400
296,89,400
297,90,400
298,87,400
299,85,400
300,86,400
301,86,400
302,83,400
303,84,400
304,83,400
305,87,400
306,85,400
307,89,400
308,86,400
309,87,400
310,89,400
311,86,400
312,87,400
313,88,400
314,81,400
315,82,400
316,85,400
317,85,400
318,84,400
319,84,400
320,79,400
321,82,400
322,80,400
323,83,400
324,86,400
325,80,400
326,88,400
327,83,400
328,84,400
329,80,400
330,85,400
331,84,400
332,85,400
333,82,400
334,78,400
335,85,400
336,82,400
337,79,400
338,79,400
339,84,400
340,83,400
341,86,400
342,82,400
343,87,400
344,85,400
345,84,400
346,89,400
347,85,400
348,84,400
349,82,400
