Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,21796,57330
16,23191,57330
17,24864,57330
18,26642,57330
19,28315,57330
20,29918,57330
21,31278,57330
22,32428,57330
23,33962,57330
24,35077,57330
25,35844,57330
26,37447,57330
27,37901,57330
28,38423,57330
29,40375,57330
30,41073,57330
31,42258,57330
32,42711,57330
33,44105,57330
34,44977,57330
35,45743,57330
36,46510,57330
37,47661,57330
38,48427,57330
39,49125,57330
40,50658,57330
41,51355,57330
42,52122,57330
43,53238,57330
44,54144,57330
45,54806,57330
46,56061,57330
47,56375,57330
48,57002,57330
49,58153,57330
50,57804,57330
51,58327,57330
52,59024,57330
53,60000,57330
54,60000,57330
55,60000,57330
56,60000,57330
57,60000,57330
58,60000,57330
59,60000,57330
60,60000,57330
61,60000,57330
62,60000,57330
63,60000,57330
64,60000,57330
65,60000,57330
66,60000,57330
67,60000,57330
68,60000,57330
69,60000,57330
70,60000,57330
71,60000,57330
72,60000,57330
73,60000,57330
74,60000,57330
75,60000,57330
76,60000,57330
77,60000,57330
78,60000,57330
79,60000,57330
80,60000,57330
81,60000,57330
82,60000,57330
83,60000,57330
84,60000,57330
85,60000,57330
86,60000,57330
87,60000,57330
88,60000,57330
89,60000,57330
90,60000,57330
91,60000,57330
92,60000,57330
93,60000,57330
94,60000,57330
95,60000,57330
96,60000,57330
97,60000,57330
98,60000,57330
99,60000,57330
100,60000,57330
101,60000,57330
102,60000,57330
103,60000,57330
104,60000,57330
105,60000,57330
106,60000,57330
107,60000,57330
108,60000,57330
109,60000,57330
110,60000,57330
111,60000,57330
112,60000,57330
113,60000,57330
114,60000,57330
115,60000,57330
116,60000,57330
117,60000,57330
118,60000,57330
119,60000,57330
120,60000,57330
121,60000,57330
122,60000,57330
123,60000,57330
124,60000,57330
125,60000,57330
126,60000,57330
127,60000,57330
128,60000,57330
129,60000,57330
130,60000,57330
131,60000,57330
132,60000,57330
133,60000,57330
134,60000,57330
135,60000,57330
136,60000,57330
137,60000,57330
138,60000,57330
139,60000,57330
140,60000,57330
141,60000,57330
142,60000,57330
143,60000,57330
144,60000,57330
145,60000,57330
146,60000,57330
147,60000,57330
148,60000,57330
149,60000,57330
150,60000,57330
151,60000,57330
152,60000,57330
153,60000,57330
154,60000,57330
155,60000,57330
156,60000,57330
157,60000,57330
158,60000,57330
159,60000,57330
160,60000,57330
161,60000,57330
162,60000,57330
163,60000,57330
164,60000,57330
165,60000,57330
166,60000,57330
167,60000,57330
168,60000,57330
169,60000,57330
170,60000,57330
171,60000,57330
172,60000,57330
173,60000,57330
174,60000,57330
175,60000,57330
176,60000,57330
177,60000,57330
178,60000,57330
179,60000,57330
180,60000,57330
181,60000,57330
182,60000,57330
183,60000,57330
184,60000,57330
185,60000,57330
186,60000,57330
187,60000,57330
188,60000,57330
189,60000,57330
190,60000,57330
191,60000,57330
192,60000,57330
193,60000,57330
194,60000,57330
195,60000,57330
196,60000,57330
197,60000,57330
198,60000,57330
199,60000,57330
200,60000,57330
201,60000,57330
202,60000,57330
203,60000,57330
204,60000,57330
205,60000,57330
206,60000,57330
207,60000,57330
208,60000,57330
209,60000,57330
210,60000,57330
211,60000,57330
212,60000,57330
213,60000,57330
214,60000,57330
215,60000,57330
216,60000,57330
217,60000,57330
218,60000,57330
219,60000,57330
220,60000,57330
221,60000,57330
222,60000,57330
223,60000,57330
224,60000,57330
225,60000,57330
226,60000,57330
227,60000,57330
228,60000,57330
229,60000,57330
230,60000,57330
231,60000,57330
232,60000,57330
233,60000,57330
234,60000,57330
235,60000,57330
236,60000,57330
237,60000,57330
238,60000,57330
239,60000,57330
240,60000,57330
241,60000,57330
242,60000,57330
243,60000,57330
244,60000,57330
245,60000,57330
246,60000,57330
247,60000,57330
248,60000,57330
249,60000,57330
250,60000,57330
251,60000,57330
252,60000,57330
253,60000,57330
254,60000,57330
255,60000,57330
256,60000,57330
257,60000,57330
258,60000,57330
259,60000,57330
260,60000,57330
261,60000,57330
262,60000,57330
263,60000,57330
264,60000,57330
265,60000,57330
266,60000,57330
267,60000,57330
268,60000,57330
269,60000,57330
270,60000,57330
271,60000,57330
272,60000,57330
273,60000,57330
274,60000,57330
275,60000,57330
276,60000,57330
277,60000,57330
278,60000,57330
279,60000,57330
280,60000,57330
281,60000,57330
282,60000,57330
283,60000,57330
284,60000,57330
285,60000,57330
286,60000,57330
287,60000,57330
288,60000,57330
289,60000,57330
290,60000,57330
291,60000,57330
292,60000,57330
293,60000,57330
294,60000,57330
295,60000,57330
296,60000,57330
297,60000,57330
298,60000,57330
299,60000,57330
300,60000,57330
301,60000,57330
302,60000,57330
303,60000,57330
304,60000,57330
305,60000,57330
306,60000,57330
307,60000,57330
308,60000,57330
309,60000,57330
310,60000,57330
311,60000,57330
312,60000,57330
313,60000,57330
314,60000,57330
315,60000,57330
316,60000,57330
317,60000,57330
318,60000,57330
319,60000,57330
320,60000,57330
321,60000,57330
322,60000,57330
323,60000,57330
324,60000,57330
325,60000,57330
326,60000,57330
327,60000,57330
328,60000,57330
329,60000,57330
330,60000,57330
331,60000,57330
332,60000,57330
333,60000,57330
334,60000,57330
335,60000,57330
336,60000,57330
337,60000,57330
338,60000,57330
339,60000,57330
340,60000,57330
341,60000,57330
342,60000,57330
343,60000,57330
344,60000,57330
345,60000,57330
346,60000,57330
347,60000,57330
348,60000,57330
349,60000,57330
